Date,Cases,Fatalities,Recoveries,Tests,Positive,Hospitalizations,Ventilators,Critical,Serious,Serious but not ventilated,Moderate,Mild,Cumulative serious,First dose,Second dose
2020-02-29,6,0,0,863,6,,,,,,,,,,
2020-03-01,7,0,0,1041,7,,,,,,,,,,
2020-03-02,12,0,0,1211,12,10,0,0,0,0,0,10,0,,
2020-03-03,15,0,0,1438,15,10,0,0,0,0,0,10,0,,
2020-03-04,15,0,0,1566,15,12,0,0,0,0,0,12,0,,
2020-03-05,17,0,0,1731,17,13,0,0,1,1,0,12,1,,
2020-03-06,21,0,0,2005,21,16,1,0,2,1,0,14,2,,
2020-03-07,25,0,0,2329,25,20,2,0,3,1,0,17,3,,
2020-03-08,34,0,0,2746,34,27,4,0,5,1,0,22,5,,
2020-03-09,38,0,0,3261,38,41,4,0,5,1,0,36,5,,
2020-03-10,71,0,0,3756,71,61,5,0,6,1,0,55,6,,
2020-03-11,90,0,0,4132,90,84,6,0,7,1,1,76,7,,
2020-03-12,112,0,0,4726,112,107,6,0,7,1,1,99,7,,
2020-03-13,147,0,1,5415,147,127,6,0,7,1,5,115,7,,
2020-03-14,176,0,1,6026,176,167,4,0,6,2,5,156,8,,
2020-03-15,215,0,1,7151,215,206,6,0,9,3,7,190,11,,
2020-03-16,288,0,1,8472,288,226,7,0,11,4,6,209,13,,
2020-03-17,382,0,3,10038,382,260,7,0,12,5,7,241,14,,
2020-03-18,500,0,5,12028,500,313,7,0,16,9,12,285,18,,
2020-03-19,636,0,9,14011,636,302,12,0,21,9,12,269,23,,
2020-03-20,804,1,10,16242,804,294,12,0,23,11,15,256,26,,
2020-03-21,1014,1,11,18308,1014,285,15,0,27,12,22,236,30,,
2020-03-22,1268,1,15,21527,1268,334,22,0,38,16,33,263,41,,
2020-03-23,1620,1,21,25027,1620,364,24,0,44,20,37,283,48,,
2020-03-24,2043,4,26,29667,2043,408,26,0,48,22,49,311,55,,
2020-03-25,2468,5,32,35454,2468,428,28,0,52,24,54,322,60,,
2020-03-26,2988,10,42,41737,2988,484,31,0,56,25,67,361,69,,
2020-03-27,3421,12,60,47321,3421,533,37,0,67,30,71,395,82,,
2020-03-28,3901,13,69,52856,3901,528,41,0,70,29,83,375,87,,
2020-03-29,4433,16,84,60093,4433,557,50,0,80,30,88,389,101,,
2020-03-30,4980,17,119,66915,4980,634,54,0,89,35,105,440,113,,
2020-03-31,5718,21,166,74446,5718,684,64,0,99,35,114,471,128,,
2020-04-01,6418,29,245,83024,6414,773,72,0,111,39,143,519,148,,
2020-04-02,7137,38,338,92493,7133,817,79,0,113,34,145,559,160,,
2020-04-03,7734,43,396,102272,7730,815,93,0,131,38,159,525,182,,
2020-04-04,8162,49,453,108260,8158,790,107,0,140,33,170,480,197,,
2020-04-05,8745,56,558,117037,8741,826,107,0,135,28,193,498,203,,
2020-04-06,9196,64,683,123806,9192,809,110,0,147,37,208,454,223,,
2020-04-07,9573,72,806,129982,9569,750,106,1,160,54,204,386,241,,
2020-04-08,9911,80,923,134930,9907,694,115,0,166,51,196,332,259,,
2020-04-09,10254,89,1041,139932,10250,669,117,0,166,49,189,314,275,,
2020-04-10,10613,97,1183,146259,10609,674,128,0,170,42,173,331,285,,
2020-04-11,10958,103,1313,152022,10954,627,130,0,182,52,163,282,309,,
2020-04-12,11510,109,1591,160546,11506,670,130,0,177,47,175,318,327,,
2020-04-13,11948,118,1886,169733,11944,696,137,0,192,55,169,335,353,,
2020-04-14,12347,126,2196,180698,12343,684,134,0,178,44,173,333,360,,
2020-04-15,12658,139,2489,188497,12654,691,132,0,179,47,175,337,381,,
2020-04-16,12954,146,2831,199706,12950,702,137,0,182,45,163,357,394,,
2020-04-17,13252,155,3202,209678,13248,667,124,0,165,41,163,339,402,,
2020-04-18,13543,166,3459,218638,13539,637,118,0,174,56,141,322,418,,
2020-04-19,13819,174,3857,228635,13815,624,118,0,157,39,148,319,426,,
2020-04-20,14118,180,4322,241930,14114,600,123,0,154,31,135,311,431,,
2020-04-21,14400,189,4708,253564,14396,550,119,0,145,26,146,259,437,,
2020-04-22,14625,192,5118,265336,14621,525,110,0,149,39,122,254,445,,
2020-04-23,14901,196,5466,277595,14897,496,114,0,146,32,106,244,450,,
2020-04-24,15149,199,5819,288072,15145,468,108,0,144,36,109,215,457,,
2020-04-25,15308,202,6207,295429,15304,441,107,0,136,29,105,200,460,,
2020-04-26,15391,204,6649,302771,15387,437,111,0,142,31,91,204,467,,
2020-04-27,15519,208,7130,312154,15515,413,101,0,132,31,89,192,469,,
2020-04-28,15678,213,7708,320969,15674,391,100,0,127,27,85,179,473,,
2020-04-29,15760,219,8071,328362,15756,383,96,0,122,26,86,175,478,,
2020-04-30,15902,225,8517,336955,15898,377,90,0,112,22,87,178,481,,
2020-05-01,16018,229,8942,346176,16014,345,89,0,109,20,81,155,485,,
2020-05-02,16075,232,9241,350937,16071,337,90,0,111,21,66,160,487,,
2020-05-03,16102,235,9552,358337,16098,326,84,0,101,17,71,154,487,,
2020-05-04,16155,238,9819,366291,16151,308,78,0,97,19,71,140,488,,
2020-05-05,16187,240,10145,373978,16183,271,72,0,91,19,61,119,488,,
2020-05-06,16252,241,10412,382524,16248,267,70,0,88,18,61,118,489,,
2020-05-07,16313,242,10650,391654,16309,255,70,0,84,14,60,111,490,,
2020-05-08,16346,248,10880,398841,16342,243,64,0,78,14,53,112,492,,
2020-05-09,16365,251,10976,402349,16361,247,64,0,78,14,50,119,493,,
2020-05-10,16394,255,11152,406759,16390,245,66,0,74,8,51,120,496,,
2020-05-11,16433,260,11491,414586,16429,229,60,0,69,9,54,106,499,,
2020-05-12,16456,263,11756,421267,16452,219,56,0,65,9,52,102,501,,
2020-05-13,16495,266,11939,428792,16491,203,53,0,61,8,48,94,503,,
2020-05-14,16517,268,12183,436471,16513,198,52,0,61,9,43,94,504,,
2020-05-15,16529,268,12348,441544,16525,189,52,0,61,9,43,85,504,,
2020-05-16,16534,271,12452,442887,16530,183,51,0,60,9,40,83,504,,
2020-05-17,16549,275,12609,447106,16545,186,45,0,55,10,38,93,506,,
2020-05-18,16576,278,12894,453902,16572,172,43,0,52,9,42,78,507,,
2020-05-19,16598,280,13054,460404,16594,166,40,0,51,11,43,72,509,,
2020-05-20,16613,281,13173,466024,16609,159,41,0,46,5,40,73,509,,
2020-05-21,16630,281,13304,471625,16626,151,37,0,47,10,31,73,509,,
2020-05-22,16649,281,13468,476240,16645,143,37,0,46,9,32,65,509,,
2020-05-23,16654,281,13515,476910,16650,143,37,0,46,9,33,64,509,,
2020-05-24,16667,282,13634,480349,16663,141,34,0,43,9,36,62,509,,
2020-05-25,16689,284,13768,485199,16685,132,29,0,41,12,32,59,510,,
2020-05-26,16739,284,13862,491713,16735,124,32,0,36,4,37,51,510,,
2020-05-27,16779,286,13925,498155,16775,122,36,1,40,4,37,45,512,,
2020-05-28,16856,287,14042,503185,16852,122,34,0,36,2,37,49,512,,
2020-05-29,16969,287,14081,504988,16965,119,37,0,39,2,36,44,513,,
2020-05-30,16998,287,14122,506029,16994,125,33,0,35,2,43,47,513,,
2020-05-31,17085,287,14184,511528,17081,128,31,0,35,4,47,46,514,,
2020-06-01,17185,290,14256,519435,17181,128,29,0,32,3,45,51,514,,
2020-06-02,17306,292,14312,531012,17302,122,29,0,29,0,44,49,515,,
2020-06-03,17403,293,14340,544054,17399,121,25,0,28,3,42,51,515,,
2020-06-04,17545,293,14382,558782,17541,128,23,0,30,7,37,61,518,,
2020-06-05,17672,294,14421,575133,17668,122,23,0,29,6,41,52,518,,
2020-06-06,17750,298,14445,586575,17746,117,21,0,29,8,42,46,521,,
2020-06-07,17890,300,14489,601466,17886,125,23,0,29,6,42,54,525,,
2020-06-08,18069,300,14531,615954,18065,136,23,0,30,7,46,60,527,,
2020-06-09,18242,301,14578,630821,18238,132,24,0,31,7,42,59,530,,
2020-06-10,18482,302,14630,648987,18478,141,24,0,32,8,45,64,532,,
2020-06-11,18673,302,14688,664551,18669,136,24,0,35,11,38,63,536,,
2020-06-12,18857,302,14743,677430,18853,139,25,0,35,10,43,61,539,,
2020-06-13,19006,303,14784,684277,19002,136,26,0,35,9,45,56,539,,
2020-06-14,19142,305,14833,692911,19138,146,23,0,31,8,48,67,540,,
2020-06-15,19340,305,14924,707020,19336,158,25,0,36,11,47,75,547,,
2020-06-16,19640,306,14977,722944,19636,156,26,0,38,12,43,75,550,,
2020-06-17,19911,306,15025,738581,19907,161,29,0,36,7,49,76,552,,
2020-06-18,20213,306,15079,755521,20209,189,28,0,40,12,43,106,557,,
2020-06-19,20523,307,15137,767969,20519,193,29,0,39,10,47,107,561,,
2020-06-20,20683,308,15173,773747,20679,217,28,0,41,13,50,126,565,,
2020-06-21,20856,308,15225,782656,20852,250,29,0,45,16,59,146,571,,
2020-06-22,21201,309,15286,796116,21197,236,29,0,43,14,56,137,573,,
2020-06-23,21653,311,15373,815278,21649,220,26,0,40,14,52,128,575,,
2020-06-24,22140,314,15448,833147,22136,225,27,0,45,18,45,135,580,,
2020-06-25,22656,318,15525,851126,22652,220,28,0,44,16,56,120,585,,
2020-06-26,23120,321,15657,867246,23116,240,26,0,45,19,57,138,591,,
2020-06-27,23518,324,15708,877297,23514,243,22,0,40,18,56,147,592,,
2020-06-28,23903,326,15851,887187,23899,271,22,0,39,17,67,165,596,,
2020-06-29,24660,326,16016,907445,24656,276,24,0,44,20,68,164,601,,
2020-06-30,25446,327,16149,927593,25442,295,24,0,56,32,68,171,613,,
2020-07-01,26418,330,16248,948422,26414,332,24,0,59,35,73,200,620,,
2020-07-02,27566,331,16379,972686,27562,344,28,0,72,44,72,200,640,,
2020-07-03,28505,334,16498,993150,28501,359,29,0,83,54,75,201,648,,
2020-07-04,29326,339,16574,1009851,29322,369,33,0,85,52,84,200,657,,
2020-07-05,30157,341,16723,1030127,30153,427,32,0,94,62,82,251,670,,
2020-07-06,31291,349,16923,1054875,31287,449,34,0,90,56,97,262,677,,
2020-07-07,32681,354,17099,1082574,32677,468,35,0,93,58,95,280,692,,
2020-07-08,34008,359,17333,1111168,34004,495,38,1,113,75,89,293,716,,
2020-07-09,35533,364,17561,1140071,35529,552,41,0,126,85,100,326,749,,
2020-07-10,36942,368,17775,1164836,36938,563,41,1,131,90,105,327,764,,
2020-07-11,38110,373,17966,1184082,38106,567,46,0,136,90,120,311,782,,
2020-07-12,39349,380,18309,1204375,39345,642,47,0,151,104,125,366,810,,
2020-07-13,41069,384,18673,1231852,41065,657,53,0,184,131,121,352,853,,
2020-07-14,42673,391,18987,1261830,42669,643,55,0,190,135,140,313,885,,
2020-07-15,44550,397,19349,1289747,44546,681,58,1,209,151,121,351,922,,
2020-07-16,46488,406,19857,1318200,46484,692,59,0,209,150,133,350,951,,
2020-07-17,48093,418,20340,1341781,48089,705,58,0,219,161,150,336,977,,
2020-07-18,49541,426,20783,1359993,49537,713,57,0,236,179,150,327,1006,,
2020-07-19,50557,436,21305,1377808,50553,827,74,0,271,197,144,412,1072,,
2020-07-20,52444,448,21931,1402300,52440,823,79,0,265,186,148,410,1110,,
2020-07-21,54450,457,22565,1429066,54446,810,81,0,257,176,142,411,1145,,
2020-07-22,56494,463,26419,1454781,56490,805,80,0,285,205,138,382,1199,,
2020-07-23,58484,479,33098,1484065,58480,821,84,0,311,227,152,358,1254,,
2020-07-24,60314,487,34785,1506762,60310,816,87,0,329,242,152,335,1289,,
2020-07-25,61426,494,35390,1521398,61422,819,99,0,322,223,178,319,1310,,
2020-07-26,62468,505,38251,1532825,62464,894,100,0,312,212,197,385,1346,,
2020-07-27,64516,512,40079,1560069,64512,919,95,0,317,222,182,420,1391,,
2020-07-28,66641,520,41690,1585838,66637,904,95,0,323,228,185,396,1437,,
2020-07-29,68595,535,43139,1611293,68591,895,97,0,336,239,173,386,1484,,
2020-07-30,70382,550,44881,1632515,70378,865,102,0,319,217,172,374,1518,,
2020-07-31,71744,564,46205,1654656,71740,862,94,0,318,224,171,373,1546,,
2020-08-01,72369,578,46752,1662112,72365,870,94,0,338,244,165,367,1590,,
2020-08-02,73077,589,49290,1671730,73073,947,100,0,350,250,171,426,1635,,
2020-08-03,74877,604,51148,1694282,74873,922,94,0,329,235,147,446,1675,,
2020-08-04,76606,615,52858,1719371,76602,888,98,0,342,244,165,381,1727,,
2020-08-05,78296,625,54387,1744264,78292,902,105,0,355,250,164,383,1761,,
2020-08-06,79973,634,56216,1772104,79969,885,97,2,357,260,152,376,1800,,
2020-08-07,81737,646,57465,1796636,81733,886,104,2,367,263,159,360,1839,,
2020-08-08,82491,659,58085,1804772,82487,902,101,2,387,286,178,336,1880,,
2020-08-09,83415,666,60400,1816315,83411,1004,110,2,387,277,199,417,1927,,
2020-08-10,85119,681,61798,1839690,85115,938,109,3,391,282,183,364,1966,,
