Date,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99
2021-02-09,91777,148096,132525,96888,84819,63449,41968,21087,11091,3892
2021-02-16,97779,154560,138769,101463,87974,65621,43038,21607,11342,3981
2021-02-23,102606,159383,143814,105000,90460,67184,43885,22053,11540,4032
2021-03-01,106860,163247,147643,107912,92388,68477,44526,22370,11716,4092
2021-03-08,113796,169186,152123,111574,94800,69915,45395,22824,11941,4175
2021-03-14,117403,172253,154219,113378,96156,70745,45881,23125,12048,4229
2021-03-22,119502,174524,155859,114730,97112,71418,46348,23346,12178,4267
2021-03-29,119999,175239,156514,115206,97550,71704,46557,23473,12227,4286
2021-04-05,120242,175728,157014,115510,97843,71877,46639,23487,12443,4391
2021-04-15,120298,176132,157422,115865,98069,72107,46832,23683,12516,4316
