Date,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99
2021-02-09,4,5,20,29,73,258,712,1290,1757,1064
2021-02-16,4,4,22,33,74,274,745,1359,1824,1101
2021-02-23,5,4,25,38,81,287,780,1400,1890,1122
2021-03-01,4,4,27,39,88,297,797,1439,1929,1134
2021-03-08,5,4,30,40,99,307,821,1483,1974,1154
2021-03-14,5,4,31,41,102,315,834,1512,1995,1172
2021-03-22,5,4,32,45,105,321,857,1535,2023,1182
2021-03-29,6,5,31,46,107,325,874,1561,2043,1194
2021-04-05,6,5,31,48,110,329,884,1536,2072,1227
2021-04-15,4,7,31,49,121,353,923,1604,2079,1143
